medium	description	compound	name
MF2	MF2	cpd00058	Cu2+
MF2	MF2	cpd00104	Biotin
MF2	MF2	cpd00063	Ca2+
MF2	MF2	cpd00099	Cl-
MF2	MF2	cpd00149	Cobalt
MF2	MF2	cpd00058	Cu2+
MF2	MF2	cpd10515	Fe2+
MF2	MF2	cpd10516	Fe3+
MF2	MF2	cpd00067	H+
MF2	MF2	cpd00001	H2O
MF2	MF2	cpd00242	H2CO3
MF2	MF2	cpd00205	K+
MF2	MF2	cpd00254	Mg
MF2	MF2	cpd00030	Mn2+
MF2	MF2	cpd11574	Molybdate
MF2	MF2	cpd00254	Mg
MF2	MF2	cpd00244	Nickel
MF2	MF2	cpd00209	Nitrate
MF2	MF2	cpd00009	Phosphate
MF2	MF2	cpd00048	Sulfate
MF2	MF2	cpd00305	Thiamin
MF2	MF2	cpd00034	Zn2+
MF2	MF2	cpd11632	Photon
MF2	MF2	cpd00011	CO2
MF2	MF2	cpd00007	O2
MF2	MF2	cpd00528	N2
